100,874,751,1079,855,580,625,749,1945,769,809,764,753,609,657,763,663,1292,719,715,897,731,763,810,604,643,616,1075,940,952,1579,750,1298,946,1463,1244,1337,678,1479,675,716,1015,595,1017,621,1163,987,808,594,929,2431,638,1007,682,765,653,1002,691,1398,1954,673,2337,664,635,1599,729,721,931,677,1663,748,1553,677,791,576,718,816,599,784,1047,1520,612,726,777,618,728,882,633,656,1159,1719,1128,1520,625,632,629,680,653,1125,643,
1000,24502,13374,26399,39213,22051,47213,44980,42683,66697,28843,64870,74303,44109,64282,28604,65948,11422,27323,19193,43777,45057,63250,29453,20191,16893,45435,29343,49214,34636,11838,23522,57363,25992,17632,22085,61663,35036,13657,22322,47283,49952,30203,15903,94517,74294,39016,12451,38767,34736,59976,15837,17597,24013,63341,40892,40699,38696,38734,39216,63833,30670,12441,43224,61732,53245,54098,58332,86517,32892,48084,30349,57535,54448,21611,60530,35703,28897,40684,34031,81564,69079,44510,41578,39541,33527,48923,14791,82666,50406,26323,29729,22094,64552,66464,37559,12561,30493,28611,11427,
5000,609980,910990,1025578,879563,972696,638663,1054071,764309,567803,947750,852332,731514,627283,660440,539947,907857,473424,1189701,575287,853477,815508,642874,661584,542969,1194531,1395098,588833,1026975,929584,714812,812431,875241,812400,1008884,659349,410736,830796,901748,645568,659976,599003,758256,689185,909749,965515,1074393,482525,1161895,548154,747846,1047851,487419,675980,1291436,825562,553573,839877,595674,885189,822291,864877,1250457,1099991,1133778,913242,521345,807746,898509,760013,1005660,939924,643907,991445,552667,823312,201950,940153,668936,1101587,950553,700897,1116849,735878,905454,1051501,576175,906997,1051181,653963,1328210,1098629,568695,1383944,824010,847555,1092251,785656,1273252,466540,
10000,2446394,3000326,3984136,3652637,3809963,3580048,2100010,2575541,2712651,3348794,2834838,3427777,3325979,3598472,3976810,3372109,3784648,3080919,2962017,3517041,4003779,3398858,2748753,3666190,3758726,5180167,3610495,4076459,3240000,3696368,2382014,3986311,2853405,2914366,3546852,3753419,6330301,4013678,3800992,4425417,3809322,3773369,4190862,2297601,4066083,3221373,2763854,3822759,3368450,2706788,3569554,3555069,4820220,3141249,4734566,3163157,3323342,3960034,4301283,2888736,4437769,2130179,3219291,3804671,3459652,2302760,3769756,3470281,2522455,3146386,3914934,2945704,2385122,1601137,2713457,2829920,3575382,2547263,2898153,4780992,3086937,3269819,3462582,2748678,2908114,4462516,3871059,2720754,4288983,3236785,3149780,3288307,4463671,3846361,5239701,3801354,2476437,3814457,3007489,
15000,5695277,7690570,8537378,6844181,6673423,6795129,6352586,7797473,7401203,9910849,7808003,7142389,8236120,7247054,9476883,9771062,4974114,5314710,6988036,7462421,7036944,8833693,6986653,5961451,9988712,8562704,7004254,6440412,7212756,5812819,8987037,7318624,9912670,7016885,6885401,7210559,8227980,6920595,4823676,8037532,6927037,9340574,8184246,7778016,6152108,5707619,7002313,5168074,6959929,7970387,7021971,8204685,9142712,7288029,8017465,7926738,8202526,7644689,5702846,9446286,7808519,5086979,6994784,7305633,6807083,7156870,9828838,8019681,8201496,6273131,6145572,7456011,8097478,7317874,7942359,5881640,6824839,6289490,4188626,7245839,7823623,9149131,10195683,6669535,8150380,5762512,6211685,7349483,6573456,6530928,7912135,8369302,8283547,6230892,5900806,9371523,7861877,7927139,9592905,
20000,13297473,12937465,12410274,12661888,12407605,13120873,16683356,9492570,12441635,15276082,9931577,14351295,14224659,12267617,11327857,11998300,10318393,14017798,21165458,10328911,16293027,12822782,12093111,13507895,13963244,10852116,12849552,15773827,11753376,12112909,14650831,10742561,14580935,16642455,16895751,13060154,12702337,16824654,13886385,13746388,14896193,10635094,10429349,14250048,10877363,11787692,14289308,11350786,12526709,12114637,12679521,12768228,12853624,13672066,15192799,14698043,10017734,13745868,14673863,10937958,9505100,13591390,12951928,10404969,13511291,14158496,11296674,15225504,13557923,11592392,14768686,11971999,12321399,9207627,11382057,13581686,11838030,14577227,12495779,12281888,14608737,16042694,11823516,14409774,16483138,12619356,15674061,15212177,15774933,12093836,10879058,12604796,9677042,13372185,13481780,11021957,16493291,12954675,13103791,
