elements*1000,comparisons
541,13292801
542,13173618
543,13056254
544,13786084
545,13362267
546,14182852
547,13447843
548,13387507
549,12823354
550,13329171
551,13483046
552,13096373
553,13029266
554,13575553
555,13401649
556,13225857
557,13613418
558,13585976
559,13714537
560,14069135
561,13683495
562,14171802
563,13978807
564,14422292
565,13748515
566,13443909
567,13879710
568,13603963
569,13716939
570,14355393
571,14019435
572,13872187
573,13922625
574,13927629
575,13765253
576,13856607
577,13703876
578,13622603
579,13931967
580,14088783
581,14197980
582,13833327
583,13984011
584,13892929
585,14468573
586,14242780
587,14564554
588,13948834
589,14706536
590,15017785
591,14488210
592,14348171
593,15077242
594,14266810
595,14566663
596,15459923
597,14936078
598,14551261
599,14314345
600,14671801
601,14463218
602,14547405
603,14675159
604,15310944
605,14249607
606,15409311
607,14486841
608,14545890
609,15363441
610,15164776
611,14740866
612,14424391
613,14924532
614,14925435
615,14699062
616,15343146
617,15279217
618,15323225
619,15822551
620,14886411
621,15200638
622,15716483
623,16219963
624,16254979
625,15466163
626,15159550
627,15459155
628,15492041
629,14944759
630,15915688
631,15484131
632,15559510
633,15537592
634,15636888
635,16194522
636,15225420
637,16118581
638,16974066
639,15451985
640,16224940
641,15751887
642,16033772
643,15913243
644,16396829
645,15465404
646,16066277
647,16507003
648,16238726
649,15573408
650,16492616
651,16325807
652,16306285
653,15872600
654,16706745
655,15898072
656,16686479
657,16151723
658,16849414
659,16397723
660,16147461
661,16498145
662,16757677
663,16573705
664,17008400
665,16529598
666,16803691
667,16283412
668,16149084
669,17086133
670,16693734
671,16419985
672,17411666
673,16771029
674,16459558
675,16195859
676,17562441
677,17342305
678,16941509
679,16691583
680,16683951
681,17729959
682,16543635
683,16889705
684,17037780
685,17240817
686,17378023
687,16879361
688,17457474
689,17091558
690,16727064
691,17195362
692,16616936
693,17879049
694,17665665
695,17526604
696,17415756
697,17259616
698,17193560
699,17583929
700,17152692
701,17832156
702,17240535
703,17256259
704,17877290
705,17248374
706,17825256
707,17665470
708,17775483
709,19507495
710,17852106
711,18004137
712,19032752
713,17792206
714,18289061
715,18358359
716,19196766
717,17770818
718,18314970
719,18820408
720,18151071
721,18072956
722,17840359
723,18358588
724,18131995
725,18156552
726,18233070
727,18172965
728,18641531
729,18469643
730,18424109
731,18146714
732,18282390
733,18798425
734,18386533
735,18746160
736,18521092
737,18414272
738,18969559
739,19332042
740,18887920
741,19625417
742,18485298
743,18854128
744,18328230
745,18549576
746,18392842
747,18899466
748,19198412
749,19017598
750,18947264
751,18628060
752,18963887
753,18797487
754,19174625
755,19065209
756,19239681
757,18795302
758,19561938
759,18934855
760,19022603
761,19772734
762,19050503
763,18913496
764,19032462
765,19727460
766,19393624
767,19423516
768,20531659
769,19630054
770,19631079
771,19762374
772,19590499
773,20598139
774,19488253
775,21894749
776,21622053
777,19520780
778,20335569
779,20277598
780,19371422
781,19644319
782,20075481
783,20081976
784,19044228
785,20455363
786,20132244
787,19557346
788,20330537
789,19825466
790,20090518
791,20540853
792,19900730
793,20004343
794,20292762
795,20107730
796,21183800
797,21198147
798,19980431
799,21681298
800,20785744
801,20371507
802,20973980
803,21349261
804,20822319
805,20003367
806,19993238
807,20903684
808,20476798
809,20599962
810,21124883
811,20569623
812,20398527
813,21453868
814,20634809
815,21427659
816,22101449
817,21073230
818,21005877
819,21218769
820,20945284
821,20706023
822,20719711
823,21538996
824,21546726
825,21378616
826,21393061
827,21204699
828,20970014
829,21463817
830,21674891
831,21627489
832,21126660
833,20989407
834,21069642
835,22720073
836,22565228
837,21891750
838,20861231
839,21160732
840,22420311
841,22277959
842,22632565
843,21247902
844,22625521
845,21589748
846,21602052
847,21976610
848,21652652
849,21796129
850,22026552
851,21667183
852,22437844
853,21714504
854,22076975
855,22279022
856,22499230
857,22000937
858,22298367
859,21982217
860,22087021
861,21780424
862,23245424
863,22394674
864,21573629
865,22896934
866,22027830
867,22039739
868,22627078
869,22066090
870,23742910
871,22877001
872,22706003
873,24295541
874,21915648
875,22546032
876,22158958
877,22954578
878,22311222
879,22709974
880,23091466
881,24546019
882,22431979
883,23533921
884,22497906
885,22693523
886,23206090
887,22802276
888,23382361
889,23788982
890,23360106
891,23039949
892,23404434
893,23225425
894,22702422
895,23610067
896,23084020
897,24829463
898,22900401
899,23381818
900,23422896
901,23860413
902,23272861
903,23228661
904,24628533
905,23613484
906,23846077
907,24217922
908,23372812
909,23617136
910,23914899
911,22980393
912,24376263
913,24092294
914,23626688
915,23805931
916,24160805
917,23935411
918,24185599
919,24775215
920,25099716
921,25469183
922,23888239
923,24849959
924,24821659
925,25086672
926,24276643
927,24464834
928,24219872
929,24124479
930,24629911
931,24476022
932,24307353
933,24136449
934,24439902
935,24645330
936,23781342
937,24021896
938,25067903
939,24837648
940,24374518
941,25031856
942,25188736
943,24133479
944,24761122
945,26705379
946,25239932
947,25760138
948,25345986
949,25458899
950,24228920
951,25056313
952,25037572
953,24935665
954,25664452
955,25425450
956,25227649
957,24609123
958,25737938
959,25850890
960,25583518
961,26710384
962,25368774
963,25604599
964,24929492
965,26130656
966,27346259
967,25045298
968,25953454
969,25893572
970,25596497
971,25174769
972,25922417
973,26360497
974,25666204
975,26642165
976,25975269
977,26157801
978,26185289
979,26206424
980,25579617
981,26438816
982,26607898
983,26366496
984,26970708
985,25731453
986,27106517
987,26266717
988,26170173
989,26868924
990,26131953
991,27006463
992,26810366
993,26056146
994,26405928
995,26756620
996,27716366
997,26324616
998,27594718
999,27150226
