elements*1000,comparisons
1,335935
2,1263252
3,2705265
4,5006379
5,7676547
6,10914202
7,15330403
8,19649946
9,25604993
10,31208852
11,37217240
12,44939039
13,53035012
14,60057868
15,68140351
16,79190754
17,89958279
18,100247048
19,112362025
