100,3137,3552,3174,3551,3060,3144,3096,3096,3208,3305,3434,4065,3544,3041,3335,2917,3458,3208,3386,2621,3742,2828,3029,3120,2992,3164,3123,3511,2987,3196,2889,3382,3468,3736,2441,3031,3709,3042,3448,1507,3291,3235,3364,3139,2575,3112,2548,3133,2858,3693,2700,3002,3503,3562,2963,2742,3558,3317,2953,2849,3404,3543,3289,2723,3013,3553,3435,3446,2872,2986,3144,3123,3308,3733,3095,3373,3335,2648,2961,2746,3473,3398,3365,2689,2945,2763,2397,3684,2706,3209,3265,3422,3419,3313,3228,3449,2881,3123,3319,
1000,312537,310267,311418,301883,304903,323354,313418,311707,314288,320195,319993,321270,311461,300844,276584,299059,331683,293297,316818,308751,323813,311761,305984,322437,300898,306902,321215,325838,337375,319929,292897,311494,297008,296575,319880,308509,301823,293682,321866,324610,297828,289163,333038,310886,316301,320012,349825,320398,307504,318239,312712,301228,332173,334691,303139,313036,303251,306251,316658,294684,294753,312156,323584,317894,308514,299140,311039,314805,306681,302085,321096,321308,321701,309060,313769,285156,317509,286867,314818,327802,318861,308167,309416,298917,293721,311270,324170,305281,313729,300448,337657,302607,305670,311100,294094,305845,294639,332970,297888,
5000,7716971,7833033,7844644,7620568,7565546,7941177,7771559,7518553,7905370,7625835,8005071,7702335,7843598,7780499,8000364,7978981,7933334,7634487,7743917,7572330,7774983,7929296,7435663,7808596,7864218,7757689,7455121,7816191,7967156,7683757,7856536,7659089,7608075,7678623,7598613,7565882,7720567,7438515,7849777,7907583,7772399,7685430,7848774,7764858,7836509,7805609,7508270,7770282,7804736,7618511,7816539,7510720,7797706,7849620,7889921,7773434,7767149,7767392,7512307,7777882,7896873,7889951,7861170,7742743,8027760,7797607,7731413,8057556,7566723,7828753,7832881,7842758,7897589,7930445,7869663,7786591,7699814,7843534,7523235,7774373,7890611,7655212,7895719,7772285,7697824,7998271,7677034,8123223,7842296,7872081,7667892,7860445,7656035,7764258,7667714,7531375,7907773,7888364,7780858,
10000,31532714,31639024,31552143,31727651,31385767,30529744,30937393,31838753,31557894,30909969,31095214,31811948,30207024,31156010,31032741,31302327,31328506,31233408,30905047,30604175,31137473,31051452,30753280,31493930,30502893,31797299,30519538,31150879,31276583,31196354,31199759,31271553,30724057,31375540,30652056,30417955,32145902,30942509,31128412,31093244,31857642,30873411,31745563,30679766,30692651,31061089,31742079,31118424,30362172,30660831,31295559,31183338,31296687,30398085,31264772,30482466,30933499,31304097,30699523,31208091,31334070,30770879,30819588,31036238,30525665,31396757,31196040,31760713,31516282,30674360,31338715,31316146,31102260,31197203,30674894,30572786,31084841,30176000,30479801,30680228,30776132,31268933,31661653,31679328,30365574,30909885,31911579,31254278,31414055,31874365,31078859,31260111,30134191,31463382,30753371,31636985,31134985,31605242,30772502,
15000,69706677,69194483,70591555,70053948,71024850,69313008,69557865,69603122,70024096,69968017,69715484,70011780,70559541,70524524,69738057,71396234,69904040,71035935,70317576,68396151,71283449,69498456,67502236,68700837,69991456,70065865,69309311,69540785,70047069,70482854,70416307,70367372,69103676,70825005,69431717,69403428,68996161,69907557,69088429,70540171,69883132,69854953,69968665,69487778,70460568,69185307,70360217,70311546,69166872,69498238,69302004,69392405,69585669,70065688,70126357,70211395,69577910,68721281,69760211,70068444,70263856,69517170,71205478,68159893,71863576,70856750,70558208,68843084,69862089,70765809,71378552,68439202,69705396,69698532,69972063,71185931,68957027,70202473,68866626,70629878,70263152,70292555,69559033,69206501,70402363,70584129,71282768,69794292,69745727,70444699,70423820,69138810,70652090,69978888,70183314,70187213,69513616,70235686,70240335,
20000,124695112,123075574,122990731,124977527,125238540,123557926,125312861,124347591,122463249,124867397,125304344,123838596,123273331,123625775,124620367,124698036,124094647,124897993,123882940,123490709,127330921,124491358,124696427,125829008,122214893,125928983,125174467,122948998,123370466,124093022,123840738,124644436,124848658,125745273,124859071,122433015,124797398,123078615,124682630,124355505,123945744,126022773,124005736,122233674,124162478,123992927,124498184,123736098,124268248,123070255,126108557,123934511,123243426,123809836,122881641,123785012,124452652,123757794,122644215,122432852,125740062,120936457,125400643,124365742,125068515,123479378,123818657,123329420,124191783,123608498,123027211,123603036,123239337,123210697,124848317,124437577,125234814,123382634,124288816,124285919,123367924,123113452,124512826,124433135,123901797,125440917,125307749,123489334,125145530,122806775,123809390,124622545,125154057,125506490,123502002,125372202,123153031,124985207,123978471,
