100,844,595,620,650,622,610,615,615,563,701,663,762,584,610,567,595,763,581,628,647,592,606,647,599,678,646,647,826,653,743,656,643,628,684,602,736,548,590,590,590,551,599,745,614,591,634,737,691,710,812,592,610,825,682,722,594,628,630,656,793,665,712,683,695,626,625,608,603,643,719,598,634,645,648,603,819,630,635,653,586,590,640,594,817,661,656,591,749,669,618,580,762,598,622,701,744,597,629,774,
1000,10896,11376,11165,10729,10126,12484,10778,11343,10690,10287,10613,11114,9875,12759,10812,10479,10384,11193,10718,11179,9798,11358,11217,10476,12003,11786,10308,11400,10505,11772,10134,11236,10747,10885,11370,10781,11382,11801,10683,11033,10583,10521,11187,10370,10542,9894,10072,10722,11256,11220,10354,10073,11700,11171,11474,11403,10739,11143,11144,10548,11158,11201,11078,10485,10690,10530,10694,11241,10878,10031,11054,10019,11630,11530,11751,10167,11071,10948,10800,10587,13017,10083,10023,11243,10642,10520,10362,11719,10623,11663,9938,10757,11384,12134,11182,10853,10953,10899,11780,
5000,71660,67535,68224,69140,69536,71534,72699,68240,68091,72123,68251,69523,70608,75919,71471,70788,66163,69553,76331,73787,68859,69450,69971,71228,67670,74486,71368,71763,67090,75100,70632,76221,68613,74938,71235,69540,77915,70384,75495,66272,69593,69246,71529,69538,70343,69126,71996,72293,70908,69973,74693,67013,72315,73659,66452,72063,75766,68820,70593,65517,70340,78467,66784,70447,68685,71257,66749,68456,76788,71193,72352,68524,67704,73081,77221,72556,66908,71972,72971,70757,76222,74260,69208,68897,69651,71752,78035,64730,71995,69912,70231,73003,68452,67861,69625,68118,70254,72183,68431,
10000,149875,161366,152123,156606,169168,155693,158949,159761,170020,153816,148268,156085,157614,153280,149160,153745,173834,149164,156765,151843,151473,152033,156520,157837,170747,166973,153573,157340,150643,154017,158709,161607,157666,169902,161536,155118,145571,156602,153464,152597,157881,155509,163403,154727,156340,147613,163275,170499,153640,153334,154736,152357,154069,156545,151286,154055,160155,151674,150672,148230,158746,157903,162443,161229,148749,153914,159636,148276,157186,156979,166729,152862,168373,152877,163067,156382,154306,152146,163040,159107,153700,160177,153016,155024,150137,154030,171684,157440,152978,162371,154480,155605,153621,144716,153213,153226,167564,153694,162748,
15000,255362,241563,235520,245008,250936,242756,257133,246370,237867,263874,247219,251942,249476,247456,254575,242820,233707,248969,253965,236031,234780,268695,250737,244963,254204,250750,231759,235381,238093,262126,248527,243684,257357,235813,245983,236029,239376,238261,239124,254923,236057,259931,238621,247697,250030,246100,249389,243857,265413,264072,253193,241885,237776,253229,239844,243980,253843,237627,237396,237888,239612,258129,242631,258573,239043,234012,237753,238969,246314,231636,264158,253651,238855,239788,237635,249439,242901,237721,240086,240269,248572,257936,263040,237687,242516,248385,236274,233095,233134,232246,258093,245476,244710,246381,259192,243635,244605,235739,246035,
20000,329678,361181,342536,340326,343287,325267,340117,326849,337243,345331,326089,328863,353787,341084,336587,343722,355705,340051,316257,330913,351109,372589,333624,355435,334436,333678,377124,342978,350608,335620,346711,361236,333417,359763,334199,336610,332592,325774,336125,350949,333986,336800,342516,342725,339531,352977,366321,352020,343694,335501,326925,349635,337770,353823,346185,338454,323929,342906,353711,331571,346165,335831,351006,314071,333901,349126,336961,337754,323622,357664,372439,342156,359031,326339,349306,342991,342422,319022,328429,338729,333528,339101,310759,342313,351663,362278,343157,337346,333379,332697,334296,340046,337957,330613,344228,332264,343493,336726,324892,
