i*1000,comparisons
541,13460014
542,13264306
543,12613660
544,13509091
545,13448549
546,12814328
547,14235421
548,13091860
549,13587434
550,13388399
551,13684332
552,13573627
553,13960875
554,13653355
555,13710118
556,13480176
557,13673244
558,13304786
559,13948316
560,13369692
561,13760840
562,13265627
563,13680144
564,13494623
565,14052625
566,14265835
567,13355009
568,13802525
569,13971838
570,13996163
571,13831577
572,14449718
573,14623338
574,13851719
575,14146739
576,13674879
577,13608166
578,14779935
579,13967950
580,14553198
581,13983300
582,14054915
583,13939891
584,14622483
585,14241690
586,14284180
587,14930409
588,14158265
589,14384924
590,14929980
591,14920120
592,14122818
593,14407253
594,14920704
595,14592228
596,14601197
597,15036236
598,15586323
599,14818871
600,14738143
601,14555757
602,14825714
603,14946374
604,14811163
605,15536477
606,14922583
607,15513081
608,14468245
609,15099087
610,14685974
611,14707474
612,15112659
613,14937191
614,14919017
615,14749874
616,14730044
617,15630713
618,14670435
619,14759673
620,15175518
621,14961401
622,15205576
623,15612809
624,16332665
625,16120191
626,16574589
627,15514614
628,15984689
629,15317888
630,15483250
631,16025086
632,16196550
633,16637845
634,15512805
635,15504518
636,15722841
637,15433235
638,15742095
639,15869635
640,15870739
641,16583233
642,17382513
643,15780432
644,15840397
645,16270089
646,15562733
647,16323847
648,16553504
649,15825081
650,17870655
651,16280576
652,16755086
653,16444218
654,16177212
655,16118503
656,16550299
657,16484016
658,16488327
659,16253377
660,16121967
661,17292406
662,17146674
663,16232931
664,16436543
665,16651446
666,16897071
667,17274251
668,16113897
669,17313979
670,16899523
671,16631860
672,16931908
673,17090481
674,16585328
675,17367800
676,16873118
677,17171630
678,16972714
679,17410923
680,17238361
681,16454489
682,16575018
683,17540450
684,18902709
685,16833169
686,17822585
687,16581600
688,17386206
689,17392724
690,17577689
691,17033129
692,17056679
693,17254460
694,18181119
695,17361190
696,17844536
697,17106161
698,17252351
699,17226800
700,17314877
701,17821294
702,17244224
703,17527575
704,18096835
705,18284092
706,18268539
707,17807984
708,18626614
709,18543907
710,17999815
711,17584302
712,17742039
713,18291812
714,18118204
715,17691215
716,18093611
717,18039773
718,18251785
719,17947152
720,18002693
721,18003529
722,18934981
723,18708209
724,17998659
725,18924259
726,18339529
727,19136423
728,18547785
729,18887093
730,18602112
731,19075223
732,18591583
733,18438917
734,18132723
735,18292025
736,18104410
737,18434107
738,18714366
739,18038905
740,19425226
741,18241057
742,18745627
743,19025308
744,18820033
745,19480152
746,18748969
747,19393144
748,18393923
749,19351890
750,18808975
751,19778539
752,18985130
753,20646577
754,18849312
755,19453361
756,18892920
757,18846334
758,20265539
759,19259572
760,18828252
761,18667979
762,19182947
763,19011802
764,20586836
765,19445497
766,20280609
767,19621303
768,19663756
769,20921938
770,19452395
771,19768809
772,19279139
773,19081707
774,19708838
775,21143312
776,19640743
777,19373030
778,20031792
779,20125131
780,19439246
781,19674247
782,20004949
783,20222390
784,19310457
785,20331931
786,21783596
787,19822257
788,20378335
789,19807238
790,20391430
791,20344025
792,20594833
793,19912782
794,19969924
795,21119125
796,19852996
797,20443268
798,20628572
799,20849194
800,21728089
801,20657438
802,20074258
803,20282878
804,21572755
805,20143380
806,19994343
807,20395122
808,20451188
809,21031043
810,21243433
811,21230498
812,22849210
813,20190220
814,20400481
815,21211144
816,20769740
817,21271029
818,21396475
819,21109725
820,21724890
821,22550394
822,21531411
823,22399391
824,20814569
825,20756177
826,22283252
827,21112202
828,21468193
829,21510520
830,22403444
831,21067380
832,21627198
833,22301195
834,21114783
835,22145918
836,21093973
837,21104720
838,21508846
839,22376794
840,22819833
841,22746015
842,22493037
843,22667224
844,22081905
845,21774338
846,22011352
847,22703723
848,21501350
849,21952254
850,21955619
851,21987540
852,22112178
853,21756724
854,22592807
855,23288068
856,23259589
857,22444129
858,22563853
859,21547896
860,21846580
861,22525119
862,22379635
863,22269069
864,22298142
865,22735901
866,22216472
867,24582255
868,22125939
869,21823072
870,22503072
871,23057933
872,22337640
873,23209559
874,22218153
875,23162391
876,22010765
877,21950141
878,22766284
879,22724795
880,22876267
881,23203344
882,22672534
883,24038895
884,22921208
885,22788848
886,23355007
887,24329068
888,23926464
889,22881054
890,24212230
891,23004445
892,24217419
893,23508750
894,22927486
895,23130158
896,23583119
897,24618643
898,22895099
899,23392997
900,23027822
901,24126008
902,23161053
903,23588523
904,23230884
905,23288786
906,24184425
907,24621869
908,23575695
909,22925200
910,24024348
911,24992681
912,23346124
913,24000768
914,23519032
915,23337635
916,24309761
917,23980147
918,25082871
919,25437091
920,24069843
921,23805282
922,24599783
923,24656655
924,24265610
925,24512634
926,25474291
927,24445687
928,25703907
929,24894189
930,26346379
931,24195993
932,24640335
933,25305463
934,24755607
935,24201262
936,24870289
937,25879235
938,24652583
939,24848135
940,25653896
941,24591438
942,26029784
943,24331228
944,26569718
945,24742146
946,24306827
947,25337665
948,24989097
949,24911045
950,25517837
951,24516040
952,28177933
953,24883530
954,24892257
955,26197420
956,26252195
957,24849205
958,25365001
959,25424626
960,25261460
961,26534003
962,25675295
963,25993550
964,25580631
965,25845501
966,27449340
967,25456110
968,26827436
969,25823976
970,26495937
971,25789887
972,25735396
973,26205915
974,25565072
975,25667355
976,25767439
977,26430566
978,25591853
979,26841045
980,26166898
981,25688291
982,27989457
983,27270799
984,26496848
985,28277274
986,25246454
987,26091546
988,26702908
989,26399290
990,26325288
