100,612,653,651,593,644,682,703,767,646,652,647,633,708,614,694,589,668,629,678,686,659,627,645,614,634,727,678,598,625,641,655,657,621,668,625,622,669,853,636,610,681,594,614,713,598,739,587,602,744,646,706,705,687,653,585,640,672,693,685,643,649,683,625,627,655,618,671,576,786,777,555,593,762,633,577,611,641,580,602,586,652,615,601,642,632,624,692,636,631,603,603,562,588,614,760,639,622,599,607,
1000,12319,10432,10787,11039,11171,11609,9880,10756,11074,11882,11185,12703,10314,10156,10519,10607,10559,10276,10844,10427,10812,10877,10789,11062,10804,10406,11186,10610,11167,11085,11328,10614,11190,11472,10924,11167,10555,10702,10835,10556,9859,11706,9999,10023,11771,10689,10877,10678,10415,11216,11494,10369,11245,11499,10735,10719,11851,9627,10315,11089,12110,10267,11331,11301,11042,10390,11369,10698,11058,10907,10816,11038,10383,10961,11760,10660,10943,11459,10925,10452,10440,10965,11322,11330,12144,11557,11805,11661,10592,11841,11654,10749,10779,11082,9874,11116,11933,10768,10158,
5000,70325,71838,72350,71767,71147,73166,71585,75447,67298,73294,68856,65302,69928,66465,68624,69124,76920,69664,66267,70670,77849,73639,71750,67288,73857,67278,72270,70066,75394,73433,66664,75687,72143,76664,67268,72257,72177,75591,71755,67520,69123,69265,72713,70393,71151,69741,75274,67821,67330,65693,71404,71909,73276,73395,73991,70509,77956,68367,72292,68178,66996,76102,70674,70213,69234,68112,68614,73091,74441,75325,68541,67564,69959,69667,68438,68987,76019,74829,70563,70702,76469,67255,72979,70625,72168,73840,67413,68980,67334,66889,72620,69493,69671,75901,66320,87283,74464,69154,70586,
10000,152688,151862,155057,156560,151977,149677,151890,156406,164950,150421,154934,156245,165087,159122,157962,148592,166750,157850,143729,148246,153423,159327,161452,159523,156265,151111,165615,155211,154173,161121,169678,163920,145661,170461,154397,146964,161040,153180,156177,154035,160904,158502,161672,154602,152931,147181,155688,146377,151945,156667,153748,148886,152596,173401,156890,160241,150751,163619,150692,165297,158448,150943,148754,158422,155440,153860,157199,163203,151147,158915,149538,156652,159665,147564,146865,162549,156765,155936,158601,153776,158519,155527,153873,151424,146274,157376,147356,169456,148527,149004,169451,160647,151160,147172,155137,147116,150454,149826,152787,
15000,238923,262076,252129,242351,252785,245701,248298,231699,250464,252938,244107,240801,270883,244312,249831,247655,241516,228937,257758,253323,264330,236968,238332,244260,244617,246947,249468,232821,248601,245555,229598,248433,266170,246208,248301,247807,244622,233065,239324,237353,265036,245879,230715,262097,277840,244962,239060,247442,251028,237320,248986,239043,234186,237624,254844,257687,258040,243306,239258,246073,257226,260639,249602,242447,255590,234467,242290,232828,254741,242792,240490,234717,240153,247040,232221,238808,227505,239177,253930,248424,258589,238467,248338,253304,250451,262101,247018,233077,242054,261552,249111,245295,248143,249136,247666,240250,249815,237856,244663,
20000,351665,330029,338028,324700,344855,341469,333074,347493,329997,348456,373853,320360,343717,346193,334790,321931,338667,332248,362104,332093,331222,364262,339915,340911,342214,329381,339093,328810,335974,353713,332953,339393,331181,345138,344504,359695,347355,339385,336052,363159,366854,350606,331545,339621,331659,331250,339911,334219,329403,328061,350368,345256,327300,365361,325264,333718,326807,340617,329352,351987,321804,336095,322471,373475,324533,330181,337442,338251,330815,353529,336541,345256,325862,327787,343792,325527,329344,358629,324357,353474,329306,326777,346413,325066,330958,344345,339070,340253,339794,358606,333775,353041,327833,335365,347028,335121,334831,334069,347724,
