elements*1000,avg comparisons
541,12703272
542,12920829
543,13014664
544,12627933
545,12911989
546,12938742
547,12892573
548,12900862
549,13056733
550,12867560
551,12996639
552,13100684
553,13041602
554,13173803
555,13171217
556,13073175
557,13115175
558,13235972
559,13185500
560,13259429
561,13451083
562,13392345
563,13185144
564,13406088
565,13258672
566,13479183
567,13289758
568,13498199
569,13373296
570,13717039
571,13511481
572,13745133
573,13433312
574,13506614
575,13437170
576,13708049
577,13588383
578,13798242
579,13688836
580,13744672
581,13617152
582,13692016
583,13966441
584,13748634
585,13886009
586,13853968
587,14217299
588,13843506
589,14118908
590,13972809
591,13893610
592,14046308
593,13926316
594,14178136
595,14160455
596,13867013
597,14109566
598,14127774
599,14071457
600,14226208
601,14417641
602,14535466
603,14296606
604,14270834
605,14438115
606,14517600
607,14622637
608,14424819
609,14333719
610,14414121
611,14660611
612,14597981
613,14678828
614,14511599
615,14779286
616,14714985
617,14704211
618,14768146
619,14681777
620,14687790
621,14801230
622,14860950
623,15021846
624,14897395
625,14810622
626,14962766
627,14898988
628,15002849
629,15039239
630,15010131
631,15093852
632,15171262
633,15079056
634,15183047
635,15144682
636,15115993
637,15173392
638,15215145
639,15195396
640,15208425
641,15501670
642,15411714
643,15156965
644,15574656
645,15326328
646,15250247
647,15679081
648,15390756
649,15361648
650,15645318
651,15614953
652,15432412
653,15580278
654,15708013
655,15456084
656,15601768
657,15797109
658,15847129
659,15781216
660,15766867
661,15743637
662,15940792
663,15925844
664,15844521
665,15998071
666,15996704
667,16127734
668,16142241
669,16130181
670,16193911
671,15812576
672,16192705
673,16332263
674,16258765
675,16171086
676,16214996
677,16152024
678,16348488
679,16332967
680,16363811
681,16199965
682,16248012
683,16297595
684,16377450
685,16658484
686,16431658
687,16686689
688,16515472
689,16409123
690,16340779
691,16398252
692,16803820
693,16429606
694,16646861
695,16804402
696,16643384
697,17151518
698,16909318
699,16716981
700,17030177
701,16877843
702,16841678
703,16868557
704,17026391
705,16888250
706,17086746
707,16895634
708,17256508
709,17151408
710,17438995
711,16958825
712,16982428
713,17313332
714,17425733
715,17225209
716,17468706
717,17296265
718,17496402
719,17405355
720,17185202
721,17308253
722,17739445
723,17686895
724,17366596
725,17442274
726,17570391
727,17529738
728,17255857
729,17610273
730,17567502
731,17731597
732,17729625
733,17656977
734,17604987
735,17652730
736,17783977
737,17811410
738,17538413
739,17648389
740,18012880
741,18145927
742,17899469
743,17994984
744,18070193
745,17875520
746,18009296
747,17843199
748,18018929
749,17992225
750,18268609
751,18261161
752,18372165
753,18211697
754,18110196
755,18229703
756,18094377
757,18489040
758,18390453
759,18318896
760,18472858
761,18470020
762,18227874
763,18790021
764,18351580
765,18602663
766,18807752
767,18444769
768,18661803
769,18529469
770,18615860
771,18455701
772,18697923
773,18763746
774,18822695
775,18775241
776,19082455
777,18790782
778,18974143
779,18753244
780,18805416
781,19262916
782,19104381
783,18937702
784,19020086
785,18832926
786,19076060
787,19302774
788,19261060
789,19377224
790,19317875
791,19009831
792,19344766
793,19449774
794,19382233
795,19016883
796,19217628
797,19338246
798,19200203
799,19302193
800,19300442
801,19467612
802,19482608
803,19500155
804,19747885
805,19358502
806,19596044
807,19785879
808,19730471
809,19691848
810,19861587
811,19927693
812,19606475
813,19768350
814,19898950
815,19677659
816,19818885
817,19776316
818,20105569
819,20005524
820,19957103
821,19776629
822,20010628
823,19728449
824,20080611
825,19978690
826,20428936
827,20208633
828,19966318
829,20439360
830,19975662
831,20149424
832,20174769
833,20011994
834,20454807
835,20438932
836,20438506
837,20644941
838,20551475
839,20605370
840,20312259
841,20779795
842,20774432
843,20431495
844,20800822
845,20556363
846,20580557
847,20689427
848,20703090
849,21021016
850,20774276
851,20935841
852,20639074
853,20891451
854,21300649
855,20627601
856,20833998
857,20832793
858,21307359
859,21112195
860,21075080
861,21084992
862,20803404
863,21173585
864,20871333
865,20902101
866,21408235
867,21327359
868,21356309
869,21194833
870,21353109
871,21322255
872,21464629
873,21457208
874,21581298
875,21293771
876,21368264
877,21487382
878,21461720
879,21516184
880,21656164
881,21806155
882,21836261
883,22019671
884,21857148
885,21841550
886,21773309
887,22126340
888,21709416
889,22014952
890,22119445
891,21715717
892,21397600
893,22030015
894,21868291
895,21712890
896,21728989
897,22325497
898,22101536
899,21974949
900,22183826
901,21970504
902,22098363
903,22180893
904,22231215
905,22065325
906,22252713
907,22126986
908,22289762
909,22516372
910,22307562
911,22164021
912,22449372
913,22594584
914,22542051
915,22478680
916,22709831
917,22769561
918,22720506
919,22938791
920,22315600
921,22482738
922,23323443
923,22424415
924,22622704
925,22836087
926,22805863
927,22878297
928,22676104
929,22924653
930,23150930
931,23291245
932,22790264
933,23205556
934,23345831
935,23094760
936,22930761
937,23261640
938,23121292
939,23270954
940,23101961
941,23132127
942,23120599
943,23384925
944,23000764
945,23183382
946,23732779
947,23245779
948,23660660
949,23361398
950,23518948
951,23477396
952,23271499
953,23514735
954,23662313
955,23686121
956,23623161
957,23597389
958,23659973
959,23642149
960,23417081
961,23735860
962,23460176
963,23682565
964,23458241
965,23553022
966,24064735
967,24264838
968,23702283
969,24110083
970,23817834
971,24127866
972,23797029
973,23976804
974,24116062
975,24167427
976,24160576
977,23996031
978,24072405
979,24071002
980,24325216
981,24128019
982,24452497
983,24237970
984,24038821
985,24016708
986,24278827
987,24849561
988,24583696
989,24454788
990,24408557
991,24527018
992,24967519
993,24505570
994,24679982
995,24599368
996,24958700
997,24660524
998,24870515
999,25065763
