elements*1000,avg comparisons
540,13074736
541,12972181
542,13241429
543,13168503
544,13004064
545,13370039
546,13351737
547,13198653
548,13160321
549,13223425
550,13407884
551,13428717
552,13608098
553,13379140
554,13521661
555,13355147
556,13547075
557,13681119
558,13442414
559,13738001
560,13611309
561,13667434
562,13705220
563,13830630
564,13916421
565,13834830
566,13814843
567,13862997
568,14203365
569,13914424
570,13839554
571,14048973
572,14177186
573,14043205
574,14084311
575,13930773
576,14002765
577,14137798
578,14339911
579,14217903
580,14044007
581,14231202
582,14164735
583,14390933
584,14453762
585,14093183
586,14466874
587,14512434
588,14272304
589,14607478
590,14618203
591,14381998
592,14570438
593,14339731
594,14578518
595,14554079
596,14581922
597,14813853
598,14666399
599,14561989
600,14720258
601,14787377
602,15067260
603,14905799
604,14709513
605,14978080
606,14824850
607,15224046
608,14905430
609,15110316
610,15122075
611,15333438
612,15340567
613,15320092
614,15002003
615,15225931
616,15046916
617,15157722
618,15348566
619,15420566
620,15303569
621,15230808
622,15369435
623,15326327
624,15286221
625,15597952
626,15728390
627,15628579
628,15550958
629,15382725
630,15603744
631,15655311
632,15537851
633,15737842
634,15754853
635,15823515
636,15533516
637,15809333
638,15969159
639,15659663
640,15686060
641,16039866
642,16052968
643,15858063
644,15919643
645,15841748
646,15998533
647,16006324
648,16429416
649,16263851
650,16185004
651,16436464
652,16307795
653,16194458
654,16350352
655,16251189
656,16438522
657,16334612
658,16204675
659,16605405
660,16458110
661,16556438
662,16435664
663,16677706
664,16473135
665,16740778
666,16569111
667,16603098
668,16709722
669,16574642
670,16774012
671,16798056
672,16958516
673,16980868
674,16658073
675,16823830
676,17083859
677,16932535
678,17183794
679,17054569
680,16880069
681,16718123
682,17146610
683,16999832
684,17159118
685,17285540
686,17456292
687,17251803
688,17233253
689,17392757
690,17471056
691,17277317
692,17791395
693,17580104
694,17329765
695,17516194
696,17575228
697,17612360
698,17400049
699,17393694
700,17770944
701,17681894
702,17870526
703,17700490
704,17808160
705,17565642
706,17982219
707,18178030
708,17699329
709,17785087
710,17983969
711,18050218
712,17835505
713,18198825
714,18169679
715,17825361
716,18188417
717,17995095
718,18212918
719,18259808
720,18478513
721,18148333
722,18117279
723,18328481
724,18301792
725,18329925
726,18629471
727,18485398
728,18346314
729,18528929
730,18561189
731,18504548
732,18196293
733,18647349
734,18535536
735,18956920
736,18805947
737,18820919
738,18789423
739,18766489
740,18868259
741,18624460
742,18762277
743,18954868
744,18771034
745,19062648
746,18838681
747,19244884
748,19115115
749,19038726
750,19086165
751,19163172
752,19097575
753,19127021
754,19220824
755,19353460
756,19385193
757,19123877
758,19432748
759,19350394
760,19177713
761,19424858
762,19400429
763,19265148
764,19838080
765,19550388
766,19753425
767,19447887
768,19529511
769,19667506
770,19541549
771,19729044
772,19779053
773,19911913
774,19931463
775,19644537
776,19939211
777,20204505
778,20168118
779,20230571
780,19913935
781,20010037
782,20262516
783,20174970
784,20039477
785,20133679
786,20359722
787,20038154
788,20147446
789,20341365
790,20155475
791,20509646
792,20321977
793,20293632
794,20395826
795,20523773
796,20471278
797,20686108
798,20551753
799,20521745
800,20592710
801,20647099
802,20896198
803,20676049
804,20489201
805,20850362
806,20809264
807,20845511
808,20750093
809,20923050
810,20970979
811,20728822
812,21023420
813,20935072
814,21047794
815,20965240
816,21056447
817,21027215
818,21201779
819,21120779
820,20957764
821,21168253
822,21223865
823,21365640
824,21227455
825,21472060
826,21303267
827,21307622
828,21266324
829,21315173
830,21731811
831,21626595
832,21467038
833,21390851
834,21664724
835,21750884
836,21747031
837,21790915
838,21680884
839,21734652
840,21775641
841,22114340
842,21717601
843,22302098
844,21844757
845,21927801
846,22076745
847,22155963
848,22191063
849,21903775
850,22182240
851,22137813
852,22032541
853,22273526
854,22071245
855,22408782
856,22454920
857,22341379
858,22281699
859,22406216
860,22375784
861,22499630
862,22892484
863,22575120
864,22607671
865,22414129
866,22602282
867,22665913
868,22764619
869,22461432
870,22844718
871,22978050
872,22697122
873,22739574
874,23113485
875,22834272
876,23146266
877,23323413
878,22881178
879,23335585
880,23003171
881,23184460
882,23395027
883,23218073
884,22996325
885,22911235
886,23353493
887,23439130
888,23525573
889,23431279
890,23708917
891,23470266
892,23433831
893,23320784
894,23632735
895,23252657
896,23222817
897,23383018
898,23703476
899,23842760
900,23508844
901,23719047
902,23927837
903,23823759
904,23946810
905,23466910
906,23920634
907,24035571
908,24600133
909,23877011
910,23898073
911,23986952
912,24103759
913,23875786
914,23887162
915,24351925
916,24096990
917,24651157
918,24507240
919,24704965
920,24396716
921,24137512
922,24530315
923,24447701
924,24379822
925,24710527
926,24301491
927,24748320
928,24442231
929,24829987
930,24559760
931,24383612
932,24746142
933,24549217
934,24669137
935,24616032
936,24803137
937,24714787
938,24819683
939,24825179
940,24568351
941,25033363
942,25146613
943,24898205
944,25160588
945,25100883
946,24832141
947,25431004
948,25198618
949,25186512
950,25313390
951,25257960
952,25088743
953,25215009
954,25537383
955,25494497
956,25162057
957,25359624
958,25583969
959,25210350
960,25572373
961,25361386
962,25542862
963,25604793
964,25742906
965,25526170
966,25793366
967,25747187
968,26255023
969,25824925
970,26280033
971,25845620
972,25845602
973,25890392
974,25924174
975,25933208
976,26127679
977,26176765
978,26206602
979,26332386
980,26422612
981,26254321
982,26216955
983,26264867
984,26520913
985,26717469
986,26428498
987,26096104
988,26159173
989,26557530
990,26521952
991,26773809
992,26672815
993,26596358
994,26525930
995,26990015
996,27157132
997,26817853
998,26865967
999,26595264
