100,749,593,778,685,594,814,649,595,629,610,697,571,611,682,578,598,612,589,632,609,572,750,639,763,630,644,649,603,806,595,632,691,560,691,575,672,638,655,554,648,659,631,768,753,669,588,615,633,705,572,619,605,667,573,662,675,600,614,717,634,629,638,607,647,585,684,809,689,600,591,510,653,593,684,607,537,583,657,583,644,638,775,584,667,594,769,599,588,588,702,575,647,749,610,670,569,580,630,626,
1000,12042,10793,11871,9838,11405,10768,11899,10930,10792,11755,10727,11606,11040,10280,10741,10709,10320,10979,11200,11580,11327,11384,11179,10975,10583,11010,12204,12367,10671,11079,11133,11400,11740,11083,11043,12396,10538,10712,11352,10524,10748,10466,11408,10891,11073,11590,12564,11551,10397,11187,11778,10464,12343,11522,10912,10594,11333,10355,11179,10726,12146,10286,12468,10036,10476,10313,11040,11067,10585,11927,10963,10391,10492,11093,11839,10355,10806,10205,10843,10763,10365,10292,11189,12081,10137,11353,12122,11882,10838,12079,11144,11114,11244,10211,12033,10999,10036,12093,10548,
5000,73068,74781,70743,73911,71688,69031,66599,71732,70993,67418,70178,70893,69832,70270,66055,65229,67800,67459,74948,66669,71361,66739,69508,70142,69255,69392,68138,68804,64839,67567,67455,66355,69911,67809,72359,71860,73579,72507,66149,67694,72907,68939,71688,71774,67439,68988,68465,73153,66816,69497,74467,70529,68757,69244,71789,66055,71679,69753,78326,72115,66933,85384,72925,72170,84899,75479,67859,70842,69269,75338,66692,80000,73344,67767,73362,68372,70673,72591,69217,70422,65665,72895,68343,67742,72928,75504,68589,68364,69949,69176,68248,69583,73192,68298,65898,65049,67571,69727,67503,
10000,157882,153864,156293,154433,156280,161290,153705,156944,161717,146153,149563,156554,163755,151813,153285,161361,160207,157889,166777,161019,155011,168523,156222,152225,153892,161835,150841,157551,159422,153279,146479,150722,145399,156774,152868,159868,167066,154964,155308,157521,149575,161319,150676,170987,159792,155976,152251,145002,161510,161329,156093,158458,155554,147960,162352,164782,147809,161120,145297,156161,153544,178588,151886,151745,150500,161195,155645,150797,154172,155668,158462,151926,162400,150971,156331,154414,166112,155201,165862,150756,143973,154954,165412,154555,152349,157371,148620,151487,154228,164951,150868,169577,152105,159232,155790,153757,149322,155992,151039,
15000,243444,246762,238582,238955,263928,236956,240096,236863,257144,239599,246300,250006,254488,248167,248736,248082,232516,246197,254894,245137,242222,265500,249966,246647,235293,243668,237926,245065,241566,241860,248569,239549,243345,239863,239856,244558,235005,244400,235331,241836,233203,233120,251715,249202,249244,231294,248404,240466,250531,248411,254392,235340,268917,252002,243905,247395,254601,255165,246079,242800,237400,252135,259873,247339,247348,243611,234706,236678,244299,244689,239009,247027,248222,237502,243207,254366,263069,240358,247276,258792,236539,269477,244980,246118,249001,243567,254726,235463,249488,258007,240609,244610,249935,246474,257830,250121,237298,240301,248266,
20000,338101,330699,330274,332443,330013,330220,346273,345371,340611,334358,337050,353572,355238,351200,338205,331189,330462,340125,339605,334413,341766,332622,340134,318856,325691,340282,357827,353999,344388,351957,330300,366753,340034,324938,347546,333924,345995,372175,341566,366729,329977,337193,333020,351627,336594,314513,329054,333311,353905,340195,345650,361597,333932,337233,322809,368329,327951,347258,338585,327820,335333,342185,336972,327627,325252,335754,379787,330864,343362,334168,361136,320972,336523,328520,328170,351160,357682,360343,333404,336445,332125,359301,326386,361986,338425,321167,338528,329043,329149,325004,337993,343207,341856,329022,345152,342744,322965,319197,336733,
