100,655,651,807,599,639,638,596,621,600,607,624,669,591,689,613,590,690,615,584,611,586,577,692,576,596,684,620,653,677,582,647,658,624,595,608,642,644,612,638,637,604,631,642,678,658,630,571,617,633,564,583,731,594,602,685,686,745,730,593,644,667,765,616,551,671,707,702,654,651,578,657,700,632,633,602,577,678,706,624,619,621,594,694,750,682,636,596,743,678,597,620,625,612,606,649,613,638,562,663,
1000,10601,11101,11141,11113,9961,11355,12089,10388,10615,10910,10445,11956,10527,10972,11538,11475,10680,10419,11493,11337,13383,11272,14447,11428,11249,11356,11363,11165,10574,10675,11125,10686,11083,10678,10610,10183,10039,10686,10748,11741,11665,10568,10751,10501,11389,10759,10669,10768,13643,10796,10278,11445,10146,12189,10326,11670,11687,9698,11293,10637,11045,10409,11986,9876,10586,11591,10561,11188,10998,10398,11169,12198,11019,10283,11118,11243,10792,12635,11361,10279,11380,10309,10344,10751,11125,10821,10653,11527,10645,11447,10814,11479,10242,10271,10416,11750,10799,10457,11869,
5000,75035,71509,68835,64888,70879,73981,70646,70653,69994,70971,68420,73032,73915,70824,65555,70241,75586,68700,67863,71662,73634,73328,68101,80448,68820,77103,70894,71466,69774,66375,69790,74547,70188,75556,76312,67038,66684,70111,77864,68470,75767,69856,76617,70559,74937,67312,75674,71561,67649,72341,72705,69176,68444,77820,71182,74108,68466,69795,70288,74412,73820,71954,66964,67948,67026,69288,70509,72743,74686,66263,73649,72517,73029,71387,72037,73284,72554,69824,67675,67972,70555,72732,73243,68784,75188,68116,67077,74151,76763,75185,69962,74834,66143,68337,68684,70839,76554,70231,67660,
10000,151131,157523,155717,148564,157176,170031,170940,168971,159355,155616,156703,155504,152705,147604,154863,150630,156864,159317,153927,149560,152822,152943,154657,151412,152551,148869,165551,154588,159186,154767,151733,151899,156123,146354,153125,153743,158177,154280,166517,154781,157826,157205,167907,159584,151400,160406,144701,158371,153294,152400,152804,155034,149191,147799,158213,156306,146080,153847,163350,162458,164169,158433,153406,174542,161680,162415,155448,160827,161126,153359,154040,153909,164134,153302,152865,148332,147568,153917,153931,164938,148413,160744,153786,164813,156916,154123,149323,163307,154293,157663,149215,167038,148192,149049,146411,150951,165453,156013,177005,
15000,240366,245438,238881,232557,246927,262110,229561,241559,245496,232592,238342,239951,237265,260449,242612,257268,253193,249517,239748,241664,244498,250046,242494,236228,253139,258654,274085,237847,237046,245025,250526,239790,250871,235951,239042,242014,250920,239915,258802,241202,245714,235228,250631,234207,256702,253023,243160,244835,265456,241545,250751,239960,240619,255716,236038,252770,233227,244251,250906,243637,262017,236229,251484,248162,247564,249564,239991,245343,251420,231217,270522,250267,254487,236364,245397,227715,237891,237196,252993,258876,252116,243899,234807,274799,249853,243001,243998,261182,252976,253268,246806,242451,234664,240714,249598,238749,240713,253517,238302,
20000,360967,328414,339140,360869,331877,332139,335849,345476,336247,351641,333402,346261,338833,334271,355448,334651,374068,321594,336172,357044,328873,338321,333277,321320,331178,340318,330628,341265,340791,347552,341258,334316,337825,330663,328133,322778,349149,334815,345738,330545,341690,331612,331800,344909,321021,335412,328699,325184,346671,349129,329061,361129,334400,325206,328725,329522,327260,348620,327017,341372,338141,358479,324125,334358,342787,330553,334073,332918,331998,342472,339703,331495,326173,327588,359399,323650,329788,349354,339568,344118,378954,343609,332472,333895,326718,345723,321794,343681,331903,324421,315534,344935,328339,341973,339224,327491,338636,331104,328172,
